Facet,FullyID,NumFacet,Length,Country,LatLon,PropFullyIDNumFacet,PropLengthFullyID,PropCountryFullyID,PropLatLonFullyID
AllGenBank,1383206,2530418,1272820,1022969,706390,54.66314261,92.01955457,73.95637382,51.06903816
BARCODE,364613,718714,363012,364303,330380,50.73130619,99.5609043,99.91497835,90.61114113
Freshwater,469472,1096518,434469,360400,256299,42.81480103,92.54417729,76.76709154,54.59303217
ENspecies,11934,11934,10908,5812,2124,100,91.40271493,48.70118988,17.79788839
