TargetTaxa,TargetTaxaNumRecords
Bivalvia,26578
Hirudinea,1096
Oligochaeta,10261
Gastropoda,76786
Coleoptera,151841
Diptera,728906
Ephemeroptera,12598
Megaloptera,542
Odonata,8611
Plecoptera,5221
Trichoptera,39031
Amphipoda,15963
Isopoda,6706
Polychaeta,11457
Turbellaria,2
